title,description,skills,salary,experience,location,country,work_type,company,date_posted,all_skills_str,skill_count,cluster,cluster_name,dominant_topic,dominant_topic_name
Electrical Designer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,$63K-$120K,1 to 8 Years,Copenhagen,Denmark,Temporary,Ford Motor Company,2022-02-22,problem solving,1,2,Marketing & Architecture,0,Engineering & Systems
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$65K-$98K,2 to 14 Years,San Jose,Costa Rica,Temporary,Reinsurance Group of America,2021-10-29,"infrastructure, communication, problem solving",3,3,Data & Analytics,2,Application Development
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$64K-$107K,4 to 15 Years,Brussels,Belgium,Contract,American Family Insurance Group,2022-07-22,"infrastructure, communication, problem solving",3,3,Data & Analytics,2,Application Development
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,$60K-$108K,4 to 15 Years,Chisinau,Moldova,Intern,State Street,2022-10-30,"communication, incident response, firewall, ethical hacking, network security, vulnerability, security, problem solving",8,4,Network & Security,4,Network & Security
UI Developer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,$63K-$114K,1 to 8 Years,Bandar Seri Begawan,Brunei,Intern,Deutsche Bank AG,2022-08-05,"figma, wireframing, user interface, user experience, sketch, prototyping",6,0,Design & UI/UX,3,UI/UX Design
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,$56K-$81K,0 to 9 Years,Maputo,Mozambique,Part-Time,Leidos Holdings,2022-10-16,,0,2,Marketing & Architecture,3,UI/UX Design
Environmental Engineer,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.",Sustainability practices Environmental management systems Green certifications,$60K-$98K,4 to 9 Years,Lisbon,Portugal,Part-Time,SpartanNash,2023-08-08,,0,2,Marketing & Architecture,1,Data & Business Analytics
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$65K-$130K,3 to 8 Years,Kingstown,St. Vincent and the Grenadines,Temporary,Synchrony Financial,2023-06-30,"prototyping, wireframing, user experience",3,0,Design & UI/UX,5,Testing & Performance
Network Engineer,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.",Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery,$65K-$112K,0 to 8 Years,Lusaka,Zambia,Part-Time,Rockwell Automation,2023-01-24,"penetration testing, firewall, network security, vulnerability, security, incident response",6,4,Network & Security,4,Network & Security
Marketing Analyst,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.",Digital marketing strategies Analytics and reporting SEO and SEM Social media marketing Email marketing Data interpretation Marketing automation tools A/B testing Communication skills Problem-solving Attention to detail Marketing knowledge,$64K-$94K,2 to 14 Years,ReykjavÃ­k,Iceland,Intern,Southwestern Energy,2022-01-04,"analytics, communication, reporting, problem solving",4,2,Marketing & Architecture,5,Testing & Performance
Network Analyst,"Network Performance Analysts monitor and optimize network performance. They collect and analyze network data, identify issues, and implement solutions to enhance network speed, reliability, and efficiency.","Network performance analysis Network monitoring tools (e.g., Wireshark) Troubleshooting Capacity planning Data analysis Network protocols",$55K-$105K,4 to 8 Years,Palikir,"Micronesia, Fed. Sts.",Temporary,Next plc,2022-09-07,"data analysis, network monitoring",2,4,Network & Security,4,Network & Security
Civil Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",$60K-$99K,1 to 14 Years,Jakarta,Indonesia,Part-Time,Weir Group,2022-03-14,"compliance, project management",2,2,Marketing & Architecture,0,Engineering & Systems
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$64K-$118K,1 to 13 Years,Ashgabat,Turkmenistan,Full-Time,Eli Lilly,2023-02-08,analytics,1,2,Marketing & Architecture,0,Engineering & Systems
Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,$60K-$84K,3 to 13 Years,San Salvador,El Salvador,Full-Time,Admiral Group,2022-12-31,,0,2,Marketing & Architecture,2,Application Development
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$59K-$120K,1 to 14 Years,Jerusalem,Israel,Temporary,Campbell Soup,2023-02-27,analytics,1,2,Marketing & Architecture,0,Engineering & Systems
Financial Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,$60K-$120K,5 to 9 Years,Mogadishu,Somalia,Full-Time,Thor Industries,2023-08-06,data analysis,1,3,Data & Analytics,1,Data & Business Analytics
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",$61K-$111K,1 to 12 Years,Abuja,Nigeria,Part-Time,Petrofac,2022-05-07,"communication, sql, data modeling, python, tableau, data visualization, data analysis, problem solving",8,3,Data & Analytics,1,Data & Business Analytics
Software Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",$58K-$128K,0 to 9 Years,George Town,Cayman Islands,Temporary,Dick's Sporting Goods,2022-12-07,"python, java",2,1,Software Development,5,Testing & Performance
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,$65K-$83K,4 to 8 Years,Tokyo,Japan,Intern,Regeneron Pharmaceuticals,2021-11-16,"communication, incident response, firewall, ethical hacking, network security, vulnerability, security, problem solving",8,4,Network & Security,4,Network & Security
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$63K-$90K,4 to 11 Years,Vienna,Austria,Intern,RWE AG,2023-02-22,"prototyping, wireframing, user experience",3,0,Design & UI/UX,5,Testing & Performance
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",$62K-$111K,3 to 9 Years,Kampala,Uganda,Intern,KLA,2022-07-21,"communication, sql, data modeling, python, tableau, data visualization, data analysis, problem solving",8,3,Data & Analytics,1,Data & Business Analytics
QA Analyst,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",$58K-$100K,5 to 12 Years,Juba,South Sudan,Intern,State Street,2021-11-15,"reporting, python",2,2,Marketing & Architecture,3,UI/UX Design
Systems Engineer,"As a Cloud Systems Engineer, you will be responsible for designing, implementing, and managing cloud infrastructure solutions. You will work with cloud platforms like AWS, Azure, or GCP to build scalable and reliable systems. Your role involves optimizing cloud resources, ensuring security, and troubleshooting issues to maintain high system availability and performance.","Cloud systems engineering Cloud infrastructure (e.g., AWS, Azure) DevOps practices Automation Security in the cloud Disaster recovery Scalability",$60K-$122K,5 to 12 Years,Kinshasa,Democratic Republic Of Congo,Temporary,Halliburton,2022-01-23,"gcp, aws, devops, infrastructure, azure, cloud, security",7,2,Marketing & Architecture,4,Network & Security
Structural Engineer,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.",Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management,$60K-$109K,4 to 8 Years,Kuala Lumpur,Malaysia,Part-Time,Walmart,2022-04-12,"compliance, project management",2,2,Marketing & Architecture,0,Engineering & Systems
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$65K-$85K,5 to 11 Years,Berlin,Germany,Full-Time,Toll Brothers,2021-10-23,"graphic design, user interface, photoshop, adobe, illustrator",5,0,Design & UI/UX,3,UI/UX Design
IT Support Specialist,"IT Systems Administrators manage and maintain an organizations IT infrastructure, including servers, networks, and security systems.",Network administration System and server maintenance Cybersecurity knowledge Backup and recovery IT project management skills,$65K-$117K,4 to 14 Years,Bratislava,Slovak Republic,Temporary,Fiat Chrysler Automobiles N.V.,2023-01-27,"network administration, cybersecurity, infrastructure, project management, network security, security",6,4,Network & Security,4,Network & Security
QA Analyst,"Software QA Testers ensure the quality of software products by designing and executing test cases, identifying defects, and reporting issues to developers. They play a critical role in ensuring software reliability and functionality.","Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)",$64K-$89K,3 to 14 Years,Riyadh,Saudi Arabia,Full-Time,Packaging Corp. of America,2023-04-28,reporting,1,1,Software Development,3,UI/UX Design
Systems Analyst,"A Business Systems Analyst analyzes business processes and requirements, recommends technology solutions, and bridges the gap between business objectives and IT systems.",Business systems analysis Requirements gathering Process improvement,$57K-$105K,2 to 15 Years,Tehran,"Iran, Islamic Rep.",Contract,CF Industries Holdings,2021-12-01,,0,2,Marketing & Architecture,1,Data & Business Analytics
Interior Designer,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,Commercial interior design Workplace ergonomics Building codes and regulations knowledge Sustainable design principles AutoCAD and Revit proficiency,$62K-$127K,4 to 9 Years,Victoria,Seychelles,Full-Time,Liberty Mutual Insurance Group,2022-05-21,,0,0,Design & UI/UX,3,UI/UX Design
Systems Administrator,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery",$63K-$102K,2 to 8 Years,Maputo,Mozambique,Full-Time,Progressive,2022-01-14,"database, sql, oracle, mysql, security",5,5,Database & Systems,4,Network & Security
Investment Analyst,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge,$61K-$112K,5 to 10 Years,Doha,Qatar,Intern,Hershey,2022-08-07,"data analysis, risk management, compliance",3,3,Data & Analytics,1,Data & Business Analytics
Network Technician,"Network Security Specialists focus on network security. They implement security measures, monitor for threats, and respond to security incidents to protect network integrity.",Network security Cybersecurity Intrusion detection Security analysis Firewall management,$57K-$121K,3 to 15 Years,Dakar,Senegal,Contract,Dollar General,2022-11-30,"cybersecurity, firewall, security, network security",4,4,Network & Security,4,Network & Security
Mechanical Designer,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.",HVAC system design Load calculations Energy efficiency AutoCAD or similar software Mechanical engineering principles Collaboration with architects and engineers Regulatory compliance Problem-solving Attention to detail Communication skills,$57K-$82K,0 to 9 Years,Male,Maldives,Full-Time,Visa,2023-08-05,"collaboration, communication, problem solving, compliance",4,2,Marketing & Architecture,0,Engineering & Systems
Data Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",$64K-$107K,3 to 8 Years,Ottawa,Canada,Temporary,Sherwin-Williams,2022-01-31,"reporting, stakeholder, database, sql, data modeling, business intelligence, analytical, tableau, data visualization, data analysis, problem solving",11,3,Data & Analytics,1,Data & Business Analytics
Network Engineer,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.",Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues,$65K-$91K,2 to 9 Years,Georgetown,Guyana,Part-Time,Lear,2023-05-25,"communication, wireless, security, network design",4,4,Network & Security,4,Network & Security
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$60K-$81K,0 to 11 Years,Papeete,French Polynesia,Contract,Stryker,2022-06-26,"graphic design, user interface, photoshop, adobe, illustrator",5,0,Design & UI/UX,3,UI/UX Design
Java Developer,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills",$65K-$123K,1 to 15 Years,Phnom Penh,Cambodia,Full-Time,Power Grid Corporation of India,2021-10-03,"spring, problem solving, java",3,1,Software Development,2,Application Development
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$56K-$124K,3 to 8 Years,Kinshasa,Democratic Republic Of Congo,Full-Time,PPL,2023-03-24,"infrastructure, communication, problem solving",3,3,Data & Analytics,2,Application Development
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$59K-$130K,0 to 9 Years,LomÃ©,Togo,Temporary,TIAA,2022-12-20,"graphic design, user interface, photoshop, adobe, illustrator",5,0,Design & UI/UX,3,UI/UX Design
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,$58K-$95K,2 to 11 Years,Ulaanbaatar,Mongolia,Part-Time,"Workday, Inc.",2021-12-31,"communication, incident response, firewall, ethical hacking, network security, vulnerability, security, problem solving",8,4,Network & Security,4,Network & Security
Marketing Analyst,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.",Digital marketing strategies Analytics and reporting SEO and SEM Social media marketing Email marketing Data interpretation Marketing automation tools A/B testing Communication skills Problem-solving Attention to detail Marketing knowledge,$61K-$102K,5 to 9 Years,Porto-Novo,Benin,Full-Time,Lufthansa Group,2022-04-05,"analytics, communication, reporting, problem solving",4,2,Marketing & Architecture,5,Testing & Performance
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,$60K-$110K,4 to 12 Years,Nairobi,Kenya,Contract,Cisco Systems,2023-07-06,,0,2,Marketing & Architecture,3,UI/UX Design
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",$60K-$90K,4 to 8 Years,Andorra la Vella,Andorra,Intern,Titan Company,2023-05-08,"reporting, regression",2,2,Marketing & Architecture,3,UI/UX Design
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$58K-$97K,5 to 14 Years,Vaduz,Liechtenstein,Contract,Devon Energy,2022-01-31,"prototyping, wireframing, user experience",3,0,Design & UI/UX,5,Testing & Performance
Graphic Designer,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.","Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge",$63K-$87K,1 to 13 Years,Gaza,West Bank and Gaza,Intern,Godrej Consumer Products Limited,2023-03-30,"creativity, adobe, illustrator",3,0,Design & UI/UX,3,UI/UX Design
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$58K-$95K,3 to 12 Years,Montevideo,Uruguay,Contract,Caterpillar,2022-03-03,"prototyping, wireframing, user experience",3,0,Design & UI/UX,5,Testing & Performance
Network Security Specialist,"Cybersecurity Analysts protect computer systems and networks from cyber threats. They monitor security systems, investigate breaches, and implement security measures to safeguard data.","Cybersecurity Security assessments Intrusion detection Security tools (e.g., SIEM) Incident response Vulnerability scanning",$55K-$101K,2 to 10 Years,Yaounde,Cameroon,Part-Time,SAP SE,2023-04-29,"cybersecurity, siem, vulnerability, security, incident response",5,4,Network & Security,4,Network & Security
Graphic Designer,"Web Graphic Designers create visually appealing graphics, images, and layouts for websites. They work closely with web developers and UI/UX designers to ensure that web content is aesthetically pleasing, on-brand, and engaging to users.","Graphic design tools (e.g., Adobe Creative Suite) Web design principles User interface (UI) design Visual communication Typography Creativity and artistic skills",$61K-$129K,1 to 13 Years,Vientiane,Lao PDR,Part-Time,Maruti Suzuki India,2023-03-13,"communication, graphic design, user interface, adobe, creativity",5,0,Design & UI/UX,3,UI/UX Design
Electrical Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.",Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations,$59K-$98K,2 to 9 Years,Wellington,New Zealand,Intern,Playtech,2022-07-30,,0,2,Marketing & Architecture,0,Engineering & Systems
Chemical Engineer,"Monitor and maintain product quality standards, perform inspections, and implement quality control procedures.","Quality control processes Quality assurance standards (e.g., ISO) Statistical analysis Inspection techniques Documenting quality issues Root cause analysis Communication with production teams Problem-solving Attention to detail Technical knowledge",$64K-$96K,0 to 11 Years,Seoul,North Korea,Full-Time,Newell Brands,2022-09-17,"communication, problem solving",2,2,Marketing & Architecture,3,UI/UX Design
Interior Designer,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,Commercial interior design Workplace ergonomics Building codes and regulations knowledge Sustainable design principles AutoCAD and Revit proficiency,$55K-$93K,5 to 13 Years,Belmopan,Belize,Contract,Automatic Data Processing,2023-04-22,,0,0,Design & UI/UX,3,UI/UX Design
Structural Engineer,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market.",Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,$61K-$124K,1 to 14 Years,Honiara,Solomon Islands,Temporary,Coterra Energy,2023-03-14,"communication, problem solving",2,2,Marketing & Architecture,0,Engineering & Systems
Process Engineer,"Chemical Engineers design and oversee processes for the production of chemicals and related products. They conduct experiments, analyze data, and develop processes to optimize production, ensure safety, and minimize environmental impact.",Chemical engineering Process design Chemical reactions Safety protocols Laboratory techniques Problem-solving skills,$64K-$87K,2 to 12 Years,Nassau,"Bahamas, The",Full-Time,Pfizer,2022-09-07,problem solving,1,2,Marketing & Architecture,0,Engineering & Systems
Front-End Engineer,"JavaScript Developers write code to create interactive and dynamic web applications. They use JavaScript libraries and frameworks to build client-side functionality, ensuring smooth user interactions and responsive web design.","JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting",$63K-$107K,3 to 14 Years,Jerusalem,Israel,Temporary,Southwestern Energy,2022-06-19,"react, javascript, frontend, angular",4,1,Software Development,2,Application Development
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,$58K-$100K,3 to 15 Years,Santiago,Chile,Full-Time,Weir Group,2022-01-08,"communication, incident response, firewall, ethical hacking, network security, vulnerability, security, problem solving",8,4,Network & Security,4,Network & Security
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",$57K-$121K,1 to 15 Years,Sanaa,Yemen,Contract,Sanmina,2022-04-14,"reporting, regression",2,2,Marketing & Architecture,3,UI/UX Design
Software Engineer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization",$61K-$104K,1 to 13 Years,Yamoussoukro,Cote d'Ivoire,Full-Time,SpartanNash,2022-05-23,"frontend, javascript, user interface, git, vue, angular, react, html",8,0,Design & UI/UX,3,UI/UX Design
QA Analyst,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis,$57K-$84K,0 to 8 Years,Vaduz,Liechtenstein,Intern,Origin Energy,2022-09-06,,0,1,Software Development,5,Testing & Performance
