title,description,skills,salary,experience,qualification,location,country,work_type,company,date_posted,role,description_clean,skills_clean,title_clean,extracted_skills,desc_skills,all_skills,skill_count,all_skills_str
Electrical Designer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,$63K-$120K,1 to 8 Years,M.Tech,Copenhagen,Denmark,Temporary,Ford Motor Company,2022-02-22,Electrical Engineer,electrical engineer design develop electrical system device work project power generation electronics control system various industry,electrical engineering circuit design electronics autocad proficiency problem solving,electrical designer,['problem solving'],[],['problem solving'],1,problem solving
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$65K-$98K,2 to 14 Years,BCA,San Jose,Costa Rica,Temporary,Reinsurance Group of America,2021-10-29,IT Support Specialist,support specialist provide technical assistance end user troubleshooting hardware software problem setting equipment maintaining infrastructure,technical troubleshooting hardware software support customer service problem solving communication,systems administrator,"['communication', 'problem solving']",['infrastructure'],"['infrastructure', 'communication', 'problem solving']",3,"infrastructure, communication, problem solving"
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$64K-$107K,4 to 15 Years,M.Tech,Brussels,Belgium,Contract,American Family Insurance Group,2022-07-22,IT Support Specialist,support specialist provide technical assistance end user troubleshooting hardware software problem setting equipment maintaining infrastructure,technical troubleshooting hardware software support customer service problem solving communication,systems administrator,"['communication', 'problem solving']",['infrastructure'],"['infrastructure', 'communication', 'problem solving']",3,"infrastructure, communication, problem solving"
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,$60K-$108K,4 to 15 Years,PhD,Chisinau,Moldova,Intern,State Street,2022-10-30,Network Security Analyst,protect organization computer network system security threat monitor network traffic respond incident,network security protocol intrusion detection prevention security incident response firewall administration vulnerability assessment security policy procedure log analysis ethical hacking problem solving communication skill attention detail,network administrator,"['communication', 'firewall', 'ethical hacking', 'network security', 'problem solving', 'vulnerability', 'security', 'incident response']",['security'],"['communication', 'incident response', 'firewall', 'ethical hacking', 'network security', 'vulnerability', 'security', 'problem solving']",8,"communication, incident response, firewall, ethical hacking, network security, vulnerability, security, problem solving"
UI Developer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,$63K-$114K,1 to 8 Years,BA,Bandar Seri Begawan,Brunei,Intern,Deutsche Bank AG,2022-08-05,UX/UI Designer,designer focus enhancing user experience designing intuitive interface consider user need preference create visually appealing functional design,user design user interface design wireframing prototyping usability testing design tool like sketch figma,ui developer,"['figma', 'wireframing', 'user interface', 'sketch', 'prototyping']",['user experience'],"['figma', 'wireframing', 'user interface', 'user experience', 'sketch', 'prototyping']",6,"figma, wireframing, user interface, user experience, sketch, prototyping"
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,$56K-$81K,0 to 9 Years,MBA,Maputo,Mozambique,Part-Time,Leidos Holdings,2022-10-16,Manufacturing Engineer,manufacturing engineer optimize manufacturing process improve production efficiency ensure product quality manufacturing environment,manufacturing process cad cam software proficiency lean manufacturing principle quality control assurance six sigma certification,mechanical engineer,[],[],[],0,
Environmental Engineer,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.",Sustainability practices Environmental management systems Green certifications,$60K-$98K,4 to 9 Years,BA,Lisbon,Portugal,Part-Time,SpartanNash,2023-08-08,Sustainability Specialist,sustainability specialist promotes sustainability initiative within organization develops sustainability program help reduce environmental impact increasing efficiency,sustainability practice environmental management system green certification,environmental engineer,[],[],[],0,
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$65K-$130K,3 to 8 Years,B.Tech,Kingstown,St. Vincent and the Grenadines,Temporary,Synchrony Financial,2023-06-30,Interaction Designer,interaction designer specialize designing user interaction within digital interface create meaningful engaging user experience considering user behavior system response,interaction design principle user behavior psychology wireframing prototyping tool animation micro interaction design collaborative design process,ux/ui designer,"['prototyping', 'wireframing']",['user experience'],"['prototyping', 'wireframing', 'user experience']",3,"prototyping, wireframing, user experience"
Network Engineer,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.",Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery,$65K-$112K,0 to 8 Years,M.Com,Lusaka,Zambia,Part-Time,Rockwell Automation,2023-01-24,Network Security Engineer,network security engineer focus protecting network system cyber threat implement security measure monitor network traffic respond security incident safeguard organization data,network security protocol technology firewall intrusion detection system vulnerability assessment penetration testing security policy development enforcement incident response recovery,network engineer,"['penetration testing', 'firewall', 'network security', 'vulnerability', 'security', 'incident response']","['security', 'network security']","['penetration testing', 'firewall', 'network security', 'vulnerability', 'security', 'incident response']",6,"penetration testing, firewall, network security, vulnerability, security, incident response"
Marketing Analyst,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.",Digital marketing strategies Analytics and reporting SEO and SEM Social media marketing Email marketing Data interpretation Marketing automation tools A/B testing Communication skills Problem-solving Attention to detail Marketing knowledge,$64K-$94K,2 to 14 Years,BCA,ReykjavÃ­k,Iceland,Intern,Southwestern Energy,2022-01-04,Digital Marketing Analyst,analyze digital marketing campaign track performance metric optimize online marketing strategy,digital marketing strategy analytics reporting seo sem social medium marketing email marketing data interpretation marketing automation tool testing communication skill problem solving attention detail marketing,marketing analyst,"['analytics', 'communication', 'reporting', 'problem solving']",[],"['analytics', 'communication', 'reporting', 'problem solving']",4,"analytics, communication, reporting, problem solving"
Network Analyst,"Network Performance Analysts monitor and optimize network performance. They collect and analyze network data, identify issues, and implement solutions to enhance network speed, reliability, and efficiency.","Network performance analysis Network monitoring tools (e.g., Wireshark) Troubleshooting Capacity planning Data analysis Network protocols",$55K-$105K,4 to 8 Years,B.Com,Palikir,"Micronesia, Fed. Sts.",Temporary,Next plc,2022-09-07,Network Performance Analyst,network performance analyst monitor optimize network performance collect analyze network data identify issue implement solution enhance network speed reliability efficiency,network performance analysis network monitoring tool wireshark troubleshooting capacity planning data analysis network protocol,network analyst,"['data analysis', 'network monitoring']",[],"['data analysis', 'network monitoring']",2,"data analysis, network monitoring"
Civil Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",$60K-$99K,1 to 14 Years,M.Com,Jakarta,Indonesia,Part-Time,Weir Group,2022-03-14,Structural Engineer,structural engineer design analyzes structural integrity building bridge structure ensure safety compliance engineering standard,structural engineering principle structural analysis design software autocad sap2000 building code standard project management structural integrity assessment,civil engineer,['project management'],['compliance'],"['compliance', 'project management']",2,"compliance, project management"
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$64K-$118K,1 to 13 Years,PhD,Ashgabat,Turkmenistan,Full-Time,Eli Lilly,2023-02-08,Social Media Manager,social medium manager oversee organization social medium presence create schedule content engage follower analyze social medium metric drive brand awareness engagement,social medium platform facebook twitter instagram content creation scheduling social medium analytics insight community engagement paid social advertising,digital marketing specialist,['analytics'],[],['analytics'],1,analytics
Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,$60K-$84K,3 to 13 Years,BCA,San Salvador,El Salvador,Full-Time,Admiral Group,2022-12-31,Residential Landscape Designer,create aesthetically pleasing functional landscape design residential property,landscape design plant selection care hardscape design,landscape architect,[],[],[],0,
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$59K-$120K,1 to 14 Years,M.Com,Jerusalem,Israel,Temporary,Campbell Soup,2023-02-27,Social Media Manager,social medium manager oversee organization social medium presence create schedule content engage follower analyze social medium metric drive brand awareness engagement,social medium platform facebook twitter instagram content creation scheduling social medium analytics insight community engagement paid social advertising,digital marketing specialist,['analytics'],[],['analytics'],1,analytics
Financial Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,$60K-$120K,5 to 9 Years,MCA,Mogadishu,Somalia,Full-Time,Thor Industries,2023-08-06,Investment Analyst,investment analyst analyze financial data market trend make informed investment recommendation research assess investment opportunity create financial model provide insight guide investment decision portfolio management,financial analysis investment evaluation portfolio management data analysis,financial analyst,['data analysis'],[],['data analysis'],1,data analysis
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",$61K-$111K,1 to 12 Years,BCA,Abuja,Nigeria,Part-Time,Petrofac,2022-05-07,Data Analyst,analyze data set generate insight provide data driven recommendation inform business decision,data analysis tool sql python data visualization tool tableau power statistical analysis data cleansing transformation data modeling communication data insight problem solving attention detail business acumen,marketing analyst,"['communication', 'data modeling', 'sql', 'tableau', 'problem solving', 'data visualization', 'data analysis', 'python']",[],"['communication', 'sql', 'data modeling', 'python', 'tableau', 'data visualization', 'data analysis', 'problem solving']",8,"communication, sql, data modeling, python, tableau, data visualization, data analysis, problem solving"
Software Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",$58K-$128K,0 to 9 Years,BBA,George Town,Cayman Islands,Temporary,Dick's Sporting Goods,2022-12-07,Automation Tester,automation tester us automated testing tool verify functionality performance software application create execute automated test script,test automation tool selenium appium scripting language python java test framework development continuous integration tool test data management,software tester,"['python', 'java']",[],"['python', 'java']",2,"python, java"
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,$65K-$83K,4 to 8 Years,BA,Tokyo,Japan,Intern,Regeneron Pharmaceuticals,2021-11-16,Network Security Analyst,protect organization computer network system security threat monitor network traffic respond incident,network security protocol intrusion detection prevention security incident response firewall administration vulnerability assessment security policy procedure log analysis ethical hacking problem solving communication skill attention detail,network administrator,"['communication', 'firewall', 'ethical hacking', 'network security', 'problem solving', 'vulnerability', 'security', 'incident response']",['security'],"['communication', 'incident response', 'firewall', 'ethical hacking', 'network security', 'vulnerability', 'security', 'problem solving']",8,"communication, incident response, firewall, ethical hacking, network security, vulnerability, security, problem solving"
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$63K-$90K,4 to 11 Years,BA,Vienna,Austria,Intern,RWE AG,2023-02-22,Interaction Designer,interaction designer specialize designing user interaction within digital interface create meaningful engaging user experience considering user behavior system response,interaction design principle user behavior psychology wireframing prototyping tool animation micro interaction design collaborative design process,ux/ui designer,"['prototyping', 'wireframing']",['user experience'],"['prototyping', 'wireframing', 'user experience']",3,"prototyping, wireframing, user experience"
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",$62K-$111K,3 to 9 Years,MCA,Kampala,Uganda,Intern,KLA,2022-07-21,Data Analyst,analyze data set generate insight provide data driven recommendation inform business decision,data analysis tool sql python data visualization tool tableau power statistical analysis data cleansing transformation data modeling communication data insight problem solving attention detail business acumen,marketing analyst,"['communication', 'data modeling', 'sql', 'tableau', 'problem solving', 'data visualization', 'data analysis', 'python']",[],"['communication', 'sql', 'data modeling', 'python', 'tableau', 'data visualization', 'data analysis', 'problem solving']",8,"communication, sql, data modeling, python, tableau, data visualization, data analysis, problem solving"
QA Analyst,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",$58K-$100K,5 to 12 Years,M.Tech,Juba,South Sudan,Intern,State Street,2021-11-15,Automation Test Engineer,automation test engineer develop automated test script framework streamline enhance testing process focus automating repetitive test improve efficiency maintain test consistency,test automation test framework development continuous integration scripting language python test reporting code review,qa analyst,"['reporting', 'python']",[],"['reporting', 'python']",2,"reporting, python"
Systems Engineer,"As a Cloud Systems Engineer, you will be responsible for designing, implementing, and managing cloud infrastructure solutions. You will work with cloud platforms like AWS, Azure, or GCP to build scalable and reliable systems. Your role involves optimizing cloud resources, ensuring security, and troubleshooting issues to maintain high system availability and performance.","Cloud systems engineering Cloud infrastructure (e.g., AWS, Azure) DevOps practices Automation Security in the cloud Disaster recovery Scalability",$60K-$122K,5 to 12 Years,B.Tech,Kinshasa,Democratic Republic Of Congo,Temporary,Halliburton,2022-01-23,Cloud Systems Engineer,cloud system engineer responsible designing implementing managing cloud infrastructure solution work cloud platform like aws azure gcp build scalable reliable system involves optimizing cloud resource ensuring security troubleshooting issue maintain high system availability performance,cloud system engineering cloud infrastructure aws azure devops practice automation security cloud disaster recovery scalability,systems engineer,"['aws', 'devops', 'infrastructure', 'azure', 'cloud', 'security']","['gcp', 'aws', 'infrastructure', 'azure', 'cloud', 'security']","['gcp', 'aws', 'devops', 'infrastructure', 'azure', 'cloud', 'security']",7,"gcp, aws, devops, infrastructure, azure, cloud, security"
Structural Engineer,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.",Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management,$60K-$109K,4 to 8 Years,BCA,Kuala Lumpur,Malaysia,Part-Time,Walmart,2022-04-12,Bridge Engineer,bridge engineer specializes designing maintaining bridge ensuring structural integrity safety compliance engineering standard regulation,bridge design civil engineering structural analysis autocad proficiency project management,structural engineer,['project management'],['compliance'],"['compliance', 'project management']",2,"compliance, project management"
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$65K-$85K,5 to 11 Years,MBA,Berlin,Germany,Full-Time,Toll Brothers,2021-10-23,User Interface Designer,user interface designer focus visual interactive aspect digital interface design layout button element ensure cohesive visually appealing user interface,design principle best practice graphic design tool adobe photoshop illustrator typography color theory visual design layout responsive design,ux/ui designer,"['illustrator', 'graphic design', 'adobe', 'photoshop']",['user interface'],"['graphic design', 'user interface', 'photoshop', 'adobe', 'illustrator']",5,"graphic design, user interface, photoshop, adobe, illustrator"
IT Support Specialist,"IT Systems Administrators manage and maintain an organizations IT infrastructure, including servers, networks, and security systems.",Network administration System and server maintenance Cybersecurity knowledge Backup and recovery IT project management skills,$65K-$117K,4 to 14 Years,M.Com,Bratislava,Slovak Republic,Temporary,Fiat Chrysler Automobiles N.V.,2023-01-27,IT Systems Administrator,system administrator manage maintain organization infrastructure including server network security system,network administration system server maintenance cybersecurity backup recovery project management skill,it support specialist,"['cybersecurity', 'network administration', 'project management']","['infrastructure', 'security', 'network security']","['network administration', 'cybersecurity', 'infrastructure', 'project management', 'network security', 'security']",6,"network administration, cybersecurity, infrastructure, project management, network security, security"
QA Analyst,"Software QA Testers ensure the quality of software products by designing and executing test cases, identifying defects, and reporting issues to developers. They play a critical role in ensuring software reliability and functionality.","Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)",$64K-$89K,3 to 14 Years,MBA,Riyadh,Saudi Arabia,Full-Time,Packaging Corp. of America,2023-04-28,Software QA Tester,software tester ensure quality software product designing executing test case identifying defect reporting issue developer play critical ensuring software reliability functionality,software quality assurance test planning test case design test execution defect tracking test automation selenium,qa analyst,[],['reporting'],['reporting'],1,reporting
Systems Analyst,"A Business Systems Analyst analyzes business processes and requirements, recommends technology solutions, and bridges the gap between business objectives and IT systems.",Business systems analysis Requirements gathering Process improvement,$57K-$105K,2 to 15 Years,MCA,Tehran,"Iran, Islamic Rep.",Contract,CF Industries Holdings,2021-12-01,Business Systems Analyst,business system analyst analyzes business process recommends technology solution bridge gap business objective system,business system analysis gathering process improvement,systems analyst,[],[],[],0,
Interior Designer,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,Commercial interior design Workplace ergonomics Building codes and regulations knowledge Sustainable design principles AutoCAD and Revit proficiency,$62K-$127K,4 to 9 Years,PhD,Victoria,Seychelles,Full-Time,Liberty Mutual Insurance Group,2022-05-21,Commercial Interior Designer,commercial interior designer focus designing interior space business commercial property optimize layout productivity aesthetic,commercial interior design workplace ergonomics building code regulation sustainable design principle autocad revit proficiency,interior designer,[],[],[],0,
Systems Administrator,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery",$63K-$102K,2 to 8 Years,PhD,Maputo,Mozambique,Full-Time,Progressive,2022-01-14,Database Administrator,database administrator manage database ensuring data integrity security efficient performance design implement maintain database troubleshooting issue,database management system mysql oracle sql server data security database tuning optimization backup recovery,systems administrator,"['database', 'sql', 'oracle', 'mysql', 'security']","['database', 'security']","['database', 'sql', 'oracle', 'mysql', 'security']",5,"database, sql, oracle, mysql, security"
Investment Analyst,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge,$61K-$112K,5 to 10 Years,BBA,Doha,Qatar,Intern,Hershey,2022-08-07,Risk Analyst,risk analyst assesses manages financial risk within organization use data analysis modeling evaluate potential risk recommend mitigation strategy,risk assessment data analysis financial modeling risk management tool regulatory compliance,investment analyst,"['risk management', 'data analysis', 'compliance']",['data analysis'],"['data analysis', 'risk management', 'compliance']",3,"data analysis, risk management, compliance"
Network Technician,"Network Security Specialists focus on network security. They implement security measures, monitor for threats, and respond to security incidents to protect network integrity.",Network security Cybersecurity Intrusion detection Security analysis Firewall management,$57K-$121K,3 to 15 Years,B.Com,Dakar,Senegal,Contract,Dollar General,2022-11-30,Network Security Specialist,network security specialist focus network security implement security measure monitor threat respond security incident protect network integrity,network security cybersecurity intrusion detection security analysis firewall management,network technician,"['cybersecurity', 'firewall', 'security', 'network security']","['security', 'network security']","['cybersecurity', 'firewall', 'security', 'network security']",4,"cybersecurity, firewall, security, network security"
